"Treatment","Repetition","Block","tfyield","tfnumber","fweight"
"Control",1,1,4355.1,33,129.827777777778
"Control",2,1,3681,31,118.741935483871
"Control",3,1,3399.2,30,111.803225806452
"Control",1,2,3471.9216,25,133.535446153846
"Control",2,2,5333.6,29,187.4
"Control",3,2,4069.7687,34,119.699079411765
"Control",1,3,4512.69,35,128.934
"Control",2,3,3601.7,29,131.547368421053
"Control",3,3,4431,34,130.323529411765
"Control",1,4,3885.3,29,133.975862068966
"Control",2,4,3925.6,33,118.957575757576
"Control",3,4,3062.1,27,113.411111111111
"Control",1,5,4017.8,29,138.544827586207
"Control",2,5,4425.4,35,126.44
"Control",3,5,5127.46,42,122.082380952381
"EXAm",1,1,5900.1,47,125.534042553191
"EXAm",2,1,4811.94,35,137.484
"EXAm",3,1,4329.3,29,149.286206896552
"EXAm",1,2,4505.6,31,145.341935483871
"EXAm",2,2,4934.9,35,140.997142857143
"EXAm",3,2,5939.1,42,141.407142857143
"EXAm",1,3,4579.9,34,134.702941176471
"EXAm",2,3,5403.9,40,135.0975
"EXAm",3,3,6352.7,36,176.463888888889
"EXAm",1,4,5134.4,35,146.697142857143
"EXAm",2,4,6231.2,46,135.460869565217
"EXAm",3,4,5619.91352,41,137.071061463415
"EXAm",1,5,5449.3,35,155.694285714286
"EXAm",2,5,6475.1,43,150.583720930233
"EXAm",3,5,5644.3,43,131.262790697674
"Infes",1,1,3879.1,30,129.303333333333
"Infes",2,1,4348.6,35,124.245714285714
"Infes",3,1,4164.7,30,138.823333333333
"Infes",1,2,4488.2,28,160.292857142857
"Infes",2,2,3018.5,36,83.8472222222222
"Infes",3,2,3948.5,29,136.155172413793
"Infes",1,3,3025,25,121
"Infes",2,3,4031.4,32,125.98125
"Infes",3,3,3215.9,28,114.853571428571
"Infes",1,4,3339.1,28,119.253571428571
"Infes",2,4,3124.4,24,130.183333333333
"Infes",3,4,3382.2,23,147.052173913043
"Infes",1,5,4344.4,31,140.141935483871
"Infes",2,5,3755.6,30,125.186666666667
"Infes",3,5,3564.3,32,111.384375
"Infes+EXAm",1,1,5857.8,44,133.131818181818
"Infes+EXAm",2,1,6279.08,37,169.704864864865
"Infes+EXAm",3,1,4475.7,33,135.627272727273
"Infes+EXAm",1,2,5261.2,38,138.452631578947
"Infes+EXAm",2,2,4039,33,122.393939393939
"Infes+EXAm",3,2,4450,43,103.488372093023
"Infes+EXAm",1,3,4268.23,27,158.082592592593
"Infes+EXAm",2,3,6768.8,37,182.940540540541
"Infes+EXAm",3,3,3433.3,33,104.039393939394
"Infes+EXAm",1,4,3647.645,29,125.780862068966
"Infes+EXAm",2,4,3432.3,27,127.122222222222
"Infes+EXAm",3,4,3481.6218,30,116.05406
"Infes+EXAm",1,5,5451.8,43,126.786046511628
"Infes+EXAm",2,5,4884.8,41,119.141463414634
"Infes+EXAm",3,5,4974.2,37,134.437837837838
"Infes+Captan",1,1,4501.5,36,125.041666666667
"Infes+Captan",2,1,3859.3,32,120.603125
"Infes+Captan",3,1,2314.4,19,121.810526315789
"Infes+Captan",1,2,5973.1,36,165.919444444444
"Infes+Captan",2,2,3751.71,29,129.369310344828
"Infes+Captan",3,2,5449.1,43,126.723255813953
"Infes+Captan",1,3,3250.7136,27,120.3968
"Infes+Captan",2,3,4073.6,30,135.786666666667
"Infes+Captan",3,3,2829.8,23,123.034782608696
"Infes+Captan",1,4,4605.8,38,121.205263157895
"Infes+Captan",2,4,4128.1,35,117.945714285714
"Infes+Captan",3,4,2868.35,29,98.9086206896552
"Infes+Captan",1,5,4051.9,33,122.784848484848
"Infes+Captan",2,5,7017,39,179.923076923077
"Infes+Captan",3,5,4319.3,29,148.941379310345
